fs_name,Annual_depreciation_rate,Annual_discount_rate,Annual_insurance_costs_per_crew,Annual_other_income,Crewshare_and_unpaid_labour_costs_percent,Landing_costs_percent,Nb_crew,Nb_Vessels,Opportunity_interest_rate,Other_annual_fixed_costs,Other_variable_costs_per_unit_effort,Standard_annual_full_time_employment_hours,Standard_labour_hour_opportunity_costs,Vessel_value
USA0001,0.04,0.052,0,0,60.96439674,0,4,1,0.05,100039.1852,44.17434243,2080,52.8,1366206.669
USA0002,0.04,0.052,0,0,59.8315568,0,4,1,0.05,91630.25438,45.51380283,2080,52.8,1405088.312
USA0003,0.04,0.052,0,0,59.8315568,0,4,1,0.05,91630.25438,45.51380283,2080,52.8,1405088.312
USA0004,0.04,0.052,0,0,60.92563939,0,4,1,0.05,98573.04314,44.30508041,2080,52.8,1373575.17
USA0005,0.04,0.052,0,0,59.8315568,0,4,1,0.05,91630.25438,45.51380283,2080,52.8,1405088.312
USA0006,0.04,0.052,0,0,59.27916715,0,4,1,0.05,91916.64113,45.44955706,2080,52.8,1317526.444
USA0007,0.04,0.052,0,0,60.96439674,0,4,1,0.05,100039.1852,44.17434243,2080,52.8,1366206.669
USA0008,0.04,0.052,0,0,59.27916715,0,4,1,0.05,91916.64113,45.44955706,2080,52.8,1317526.444
USA0009,0.04,0.052,0,0,59.27916715,0,4,1,0.05,91916.64113,45.44955706,2080,52.8,1317526.444
USA0010,0.04,0.052,0,0,59.27916715,0,4,1,0.05,91916.64113,45.44955706,2080,52.8,1317526.444
USA0011,0.04,0.052,0,0,61.82057783,0,4,1,0.05,94642.94158,44.4469169,2080,52.8,1365695.144
USA0012,0.04,0.052,0,0,61.94898906,0,4,1,0.05,96237.4782,43.92496568,2080,52.8,1388988.974
USA0013,0.04,0.052,0,0,62.16548407,0,4,1,0.05,95641.68781,44.09456027,2080,52.8,1370771.538
USA0014,0.04,0.052,0,0,59.27916715,0,4,1,0.05,91916.64113,45.44955706,2080,52.8,1317526.444
USA0015,0.04,0.052,0,0,59.27916715,0,4,1,0.05,91916.64113,45.44955706,2080,52.8,1317526.444
USA0016,0.04,0.052,0,0,59.27916715,0,4,1,0.05,91916.64113,45.44955706,2080,52.8,1317526.444
USA0017,0.04,0.052,0,0,59.27916715,0,4,1,0.05,91916.64113,45.44955706,2080,52.8,1317526.444
USA0018,0.04,0.052,0,0,59.8315568,0,4,1,0.05,91630.25438,45.51380283,2080,52.8,1405088.312
USA0019,0.04,0.052,0,0,59.27916715,0,4,1,0.05,91916.64113,45.44955706,2080,52.8,1317526.444
USA0020,0.04,0.052,0,0,59.27916715,0,4,1,0.05,91916.64113,45.44955706,2080,52.8,1317526.444
USA0021,0.04,0.052,0,0,59.27916715,0,4,1,0.05,91916.64113,45.44955706,2080,52.8,1317526.444
USA0022,0.04,0.052,0,0,59.27916715,0,4,1,0.05,91916.64113,45.44955706,2080,52.8,1317526.444
USA0023,0.04,0.052,0,0,59.27916715,0,4,1,0.05,91916.64113,45.44955706,2080,52.8,1317526.444
USA0024,0.04,0.052,0,0,59.27916715,0,4,1,0.05,91916.64113,45.44955706,2080,52.8,1317526.444
USA0025,0.04,0.052,0,0,59.27916715,0,4,1,0.05,91916.64113,45.44955706,2080,52.8,1317526.444
USA0026,0.04,0.052,0,0,59.27916715,0,4,1,0.05,91916.64113,45.44955706,2080,52.8,1317526.444
USA0027,0.04,0.052,0,0,59.8315568,0,4,1,0.05,91630.25438,45.51380283,2080,52.8,1405088.312
USA0028,0.04,0.052,0,0,68.77385957,0,3,1,0.05,123090.2436,52.52520317,2080,52.8,2802016.989
USA0029,0.04,0.052,0,0,59.8315568,0,4,1,0.05,91630.25438,45.51380283,2080,52.8,1405088.312
USA0030,0.04,0.052,0,0,59.8315568,0,4,1,0.05,91630.25438,45.51380283,2080,52.8,1405088.312
USA0031,0.04,0.052,0,0,59.8315568,0,4,1,0.05,91630.25438,45.51380283,2080,52.8,1405088.312
USA0033,0.04,0.052,0,0,61.94898906,0,4,1,0.05,96237.4782,43.92496568,2080,52.8,1388988.974
USA0034,0.04,0.052,0,0,63.29627668,0,4,1,0.05,92584.91219,44.95600786,2080,52.8,1277304.749
USA0035,0.04,0.052,0,0,63.29627668,0,4,1,0.05,92584.91219,44.95600786,2080,52.8,1277304.749
USA0036,0.04,0.052,0,0,62.05341317,0,4,1,0.05,157279.8159,53.7784177,2080,52.8,3043414.718
USA0037,0.04,0.052,0,0,59.27916715,0,4,1,0.05,91916.64113,45.44955706,2080,52.8,1317526.444
